study_id,animal_id,group_number,group_name,sex,dose_mgkg_day,dose_volume_mlkg,species,strain,age_at_arrival_weeks,bw_at_receipt_g,arrival_date,acclimation_start,day1_date,necropsy_date,disposition,necropsy_type,comments
TOX-2025-0421-P,M101,1,Vehicle Control,M,0,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,219,2025-03-10,2025-03-11,2025-03-17,2025-04-14,Scheduled Sacrifice,Scheduled,
TOX-2025-0421-P,M102,1,Vehicle Control,M,0,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,216,2025-03-10,2025-03-11,2025-03-17,2025-04-14,Scheduled Sacrifice,Scheduled,
TOX-2025-0421-P,M103,1,Vehicle Control,M,0,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,221,2025-03-10,2025-03-11,2025-03-17,2025-04-14,Scheduled Sacrifice,Scheduled,
TOX-2025-0421-P,M104,1,Vehicle Control,M,0,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,218,2025-03-10,2025-03-11,2025-03-17,2025-04-14,Scheduled Sacrifice,Scheduled,
TOX-2025-0421-P,M105,1,Vehicle Control,M,0,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,215,2025-03-10,2025-03-11,2025-03-17,2025-04-14,Scheduled Sacrifice,Scheduled,
TOX-2025-0421-P,F101,1,Vehicle Control,F,0,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,174,2025-03-10,2025-03-11,2025-03-17,2025-04-14,Scheduled Sacrifice,Scheduled,
TOX-2025-0421-P,F102,1,Vehicle Control,F,0,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,172,2025-03-10,2025-03-11,2025-03-17,2025-04-14,Scheduled Sacrifice,Scheduled,
TOX-2025-0421-P,F103,1,Vehicle Control,F,0,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,176,2025-03-10,2025-03-11,2025-03-17,2025-04-14,Scheduled Sacrifice,Scheduled,
TOX-2025-0421-P,F104,1,Vehicle Control,F,0,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,173,2025-03-10,2025-03-11,2025-03-17,2025-04-14,Scheduled Sacrifice,Scheduled,
TOX-2025-0421-P,F105,1,Vehicle Control,F,0,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,175,2025-03-10,2025-03-11,2025-03-17,2025-04-14,Scheduled Sacrifice,Scheduled,
TOX-2025-0421-P,M201,2,Low Dose,M,5,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,217,2025-03-10,2025-03-11,2025-03-17,2025-04-14,Scheduled Sacrifice,Scheduled,
TOX-2025-0421-P,M202,2,Low Dose,M,5,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,215,2025-03-10,2025-03-11,2025-03-17,2025-04-14,Scheduled Sacrifice,Scheduled,
TOX-2025-0421-P,M203,2,Low Dose,M,5,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,220,2025-03-10,2025-03-11,2025-03-17,2025-04-14,Scheduled Sacrifice,Scheduled,
TOX-2025-0421-P,M204,2,Low Dose,M,5,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,218,2025-03-10,2025-03-11,2025-03-17,2025-04-14,Scheduled Sacrifice,Scheduled,
TOX-2025-0421-P,M205,2,Low Dose,M,5,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,216,2025-03-10,2025-03-11,2025-03-17,2025-04-14,Scheduled Sacrifice,Scheduled,
TOX-2025-0421-P,F201,2,Low Dose,F,5,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,173,2025-03-10,2025-03-11,2025-03-17,2025-04-14,Scheduled Sacrifice,Scheduled,
TOX-2025-0421-P,F202,2,Low Dose,F,5,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,171,2025-03-10,2025-03-11,2025-03-17,2025-04-14,Scheduled Sacrifice,Scheduled,
TOX-2025-0421-P,F203,2,Low Dose,F,5,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,175,2025-03-10,2025-03-11,2025-03-17,2025-04-14,Scheduled Sacrifice,Scheduled,
TOX-2025-0421-P,F204,2,Low Dose,F,5,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,174,2025-03-10,2025-03-11,2025-03-17,2025-04-14,Scheduled Sacrifice,Scheduled,
TOX-2025-0421-P,F205,2,Low Dose,F,5,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,172,2025-03-10,2025-03-11,2025-03-17,2025-04-14,Scheduled Sacrifice,Scheduled,
TOX-2025-0421-P,M301,3,Mid Dose,M,25,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,218,2025-03-10,2025-03-11,2025-03-17,2025-04-14,Scheduled Sacrifice,Scheduled,
TOX-2025-0421-P,M302,3,Mid Dose,M,25,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,216,2025-03-10,2025-03-11,2025-03-17,2025-04-14,Scheduled Sacrifice,Scheduled,
TOX-2025-0421-P,M303,3,Mid Dose,M,25,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,220,2025-03-10,2025-03-11,2025-03-17,2025-04-14,Scheduled Sacrifice,Scheduled,
TOX-2025-0421-P,M304,3,Mid Dose,M,25,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,217,2025-03-10,2025-03-11,2025-03-17,2025-04-14,Scheduled Sacrifice,Scheduled,
TOX-2025-0421-P,M305,3,Mid Dose,M,25,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,215,2025-03-10,2025-03-11,2025-03-17,2025-04-14,Scheduled Sacrifice,Scheduled,
TOX-2025-0421-P,F301,3,Mid Dose,F,25,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,174,2025-03-10,2025-03-11,2025-03-17,2025-04-14,Scheduled Sacrifice,Scheduled,
TOX-2025-0421-P,F302,3,Mid Dose,F,25,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,172,2025-03-10,2025-03-11,2025-03-17,2025-04-14,Scheduled Sacrifice,Scheduled,
TOX-2025-0421-P,F303,3,Mid Dose,F,25,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,175,2025-03-10,2025-03-11,2025-03-17,2025-04-14,Scheduled Sacrifice,Scheduled,
TOX-2025-0421-P,F304,3,Mid Dose,F,25,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,173,2025-03-10,2025-03-11,2025-03-17,2025-04-14,Scheduled Sacrifice,Scheduled,
TOX-2025-0421-P,F305,3,Mid Dose,F,25,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,171,2025-03-10,2025-03-11,2025-03-17,2025-04-14,Scheduled Sacrifice,Scheduled,
TOX-2025-0421-P,M401,4,High Dose,M,100,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,217,2025-03-10,2025-03-11,2025-03-17,2025-04-14,Scheduled Sacrifice,Scheduled,
TOX-2025-0421-P,M402,4,High Dose,M,100,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,215,2025-03-10,2025-03-11,2025-03-17,2025-04-14,Scheduled Sacrifice,Scheduled,
TOX-2025-0421-P,M403,4,High Dose,M,100,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,219,2025-03-10,2025-03-11,2025-03-17,2025-04-14,Scheduled Sacrifice,Scheduled,
TOX-2025-0421-P,M404,4,High Dose,M,100,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,216,2025-03-10,2025-03-11,2025-03-17,2025-04-14,Scheduled Sacrifice,Scheduled,
TOX-2025-0421-P,M405,4,High Dose,M,100,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,218,2025-03-10,2025-03-11,2025-03-17,2025-04-14,Scheduled Sacrifice,Scheduled,
TOX-2025-0421-P,F401,4,High Dose,F,100,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,173,2025-03-10,2025-03-11,2025-03-17,2025-04-14,Scheduled Sacrifice,Scheduled,
TOX-2025-0421-P,F402,4,High Dose,F,100,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,171,2025-03-10,2025-03-11,2025-03-17,2025-04-14,Scheduled Sacrifice,Scheduled,
TOX-2025-0421-P,F403,4,High Dose,F,100,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,174,2025-03-10,2025-03-11,2025-03-17,2025-04-14,Scheduled Sacrifice,Scheduled,
TOX-2025-0421-P,F404,4,High Dose,F,100,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,172,2025-03-10,2025-03-11,2025-03-17,2025-04-14,Scheduled Sacrifice,Scheduled,
TOX-2025-0421-P,F405,4,High Dose,F,100,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,175,2025-03-10,2025-03-11,2025-03-17,2025-04-14,Scheduled Sacrifice,Scheduled,
