study_id,animal_id,group_number,group_name,sex,dose_mgkg_day,study_day,study_date,body_weight_g
TOX-2025-0421-P,M101,1,Vehicle Control,M,0,1,2025-03-17,232
TOX-2025-0421-P,M101,1,Vehicle Control,M,0,7,2025-03-23,263
TOX-2025-0421-P,M101,1,Vehicle Control,M,0,14,2025-03-30,291
TOX-2025-0421-P,M101,1,Vehicle Control,M,0,21,2025-04-06,317
TOX-2025-0421-P,M101,1,Vehicle Control,M,0,28,2025-04-13,341
TOX-2025-0421-P,M102,1,Vehicle Control,M,0,1,2025-03-17,229
TOX-2025-0421-P,M102,1,Vehicle Control,M,0,7,2025-03-23,260
TOX-2025-0421-P,M102,1,Vehicle Control,M,0,14,2025-03-30,288
TOX-2025-0421-P,M102,1,Vehicle Control,M,0,21,2025-04-06,314
TOX-2025-0421-P,M102,1,Vehicle Control,M,0,28,2025-04-13,338
TOX-2025-0421-P,M103,1,Vehicle Control,M,0,1,2025-03-17,234
TOX-2025-0421-P,M103,1,Vehicle Control,M,0,7,2025-03-23,265
TOX-2025-0421-P,M103,1,Vehicle Control,M,0,14,2025-03-30,293
TOX-2025-0421-P,M103,1,Vehicle Control,M,0,21,2025-04-06,320
TOX-2025-0421-P,M103,1,Vehicle Control,M,0,28,2025-04-13,344
TOX-2025-0421-P,M104,1,Vehicle Control,M,0,1,2025-03-17,231
TOX-2025-0421-P,M104,1,Vehicle Control,M,0,7,2025-03-23,261
TOX-2025-0421-P,M104,1,Vehicle Control,M,0,14,2025-03-30,289
TOX-2025-0421-P,M104,1,Vehicle Control,M,0,21,2025-04-06,315
TOX-2025-0421-P,M104,1,Vehicle Control,M,0,28,2025-04-13,340
TOX-2025-0421-P,M105,1,Vehicle Control,M,0,1,2025-03-17,228
TOX-2025-0421-P,M105,1,Vehicle Control,M,0,7,2025-03-23,259
TOX-2025-0421-P,M105,1,Vehicle Control,M,0,14,2025-03-30,287
TOX-2025-0421-P,M105,1,Vehicle Control,M,0,21,2025-04-06,312
TOX-2025-0421-P,M105,1,Vehicle Control,M,0,28,2025-04-13,336
TOX-2025-0421-P,F101,1,Vehicle Control,F,0,1,2025-03-17,184
TOX-2025-0421-P,F101,1,Vehicle Control,F,0,7,2025-03-23,205
TOX-2025-0421-P,F101,1,Vehicle Control,F,0,14,2025-03-30,221
TOX-2025-0421-P,F101,1,Vehicle Control,F,0,21,2025-04-06,234
TOX-2025-0421-P,F101,1,Vehicle Control,F,0,28,2025-04-13,246
TOX-2025-0421-P,F102,1,Vehicle Control,F,0,1,2025-03-17,182
TOX-2025-0421-P,F102,1,Vehicle Control,F,0,7,2025-03-23,203
TOX-2025-0421-P,F102,1,Vehicle Control,F,0,14,2025-03-30,219
TOX-2025-0421-P,F102,1,Vehicle Control,F,0,21,2025-04-06,231
TOX-2025-0421-P,F102,1,Vehicle Control,F,0,28,2025-04-13,244
TOX-2025-0421-P,F103,1,Vehicle Control,F,0,1,2025-03-17,186
TOX-2025-0421-P,F103,1,Vehicle Control,F,0,7,2025-03-23,207
TOX-2025-0421-P,F103,1,Vehicle Control,F,0,14,2025-03-30,223
TOX-2025-0421-P,F103,1,Vehicle Control,F,0,21,2025-04-06,236
TOX-2025-0421-P,F103,1,Vehicle Control,F,0,28,2025-04-13,248
TOX-2025-0421-P,F104,1,Vehicle Control,F,0,1,2025-03-17,183
TOX-2025-0421-P,F104,1,Vehicle Control,F,0,7,2025-03-23,204
TOX-2025-0421-P,F104,1,Vehicle Control,F,0,14,2025-03-30,220
TOX-2025-0421-P,F104,1,Vehicle Control,F,0,21,2025-04-06,232
TOX-2025-0421-P,F104,1,Vehicle Control,F,0,28,2025-04-13,245
TOX-2025-0421-P,F105,1,Vehicle Control,F,0,1,2025-03-17,185
TOX-2025-0421-P,F105,1,Vehicle Control,F,0,7,2025-03-23,206
TOX-2025-0421-P,F105,1,Vehicle Control,F,0,14,2025-03-30,222
TOX-2025-0421-P,F105,1,Vehicle Control,F,0,21,2025-04-06,235
TOX-2025-0421-P,F105,1,Vehicle Control,F,0,28,2025-04-13,247
TOX-2025-0421-P,M201,2,Low Dose,M,5,1,2025-03-17,230
TOX-2025-0421-P,M201,2,Low Dose,M,5,7,2025-03-23,261
TOX-2025-0421-P,M201,2,Low Dose,M,5,14,2025-03-30,289
TOX-2025-0421-P,M201,2,Low Dose,M,5,21,2025-04-06,314
TOX-2025-0421-P,M201,2,Low Dose,M,5,28,2025-04-13,338
TOX-2025-0421-P,M202,2,Low Dose,M,5,1,2025-03-17,228
TOX-2025-0421-P,M202,2,Low Dose,M,5,7,2025-03-23,259
TOX-2025-0421-P,M202,2,Low Dose,M,5,14,2025-03-30,287
TOX-2025-0421-P,M202,2,Low Dose,M,5,21,2025-04-06,312
TOX-2025-0421-P,M202,2,Low Dose,M,5,28,2025-04-13,336
TOX-2025-0421-P,M203,2,Low Dose,M,5,1,2025-03-17,233
TOX-2025-0421-P,M203,2,Low Dose,M,5,7,2025-03-23,264
TOX-2025-0421-P,M203,2,Low Dose,M,5,14,2025-03-30,292
TOX-2025-0421-P,M203,2,Low Dose,M,5,21,2025-04-06,318
TOX-2025-0421-P,M203,2,Low Dose,M,5,28,2025-04-13,342
TOX-2025-0421-P,M204,2,Low Dose,M,5,1,2025-03-17,231
TOX-2025-0421-P,M204,2,Low Dose,M,5,7,2025-03-23,262
TOX-2025-0421-P,M204,2,Low Dose,M,5,14,2025-03-30,290
TOX-2025-0421-P,M204,2,Low Dose,M,5,21,2025-04-06,315
TOX-2025-0421-P,M204,2,Low Dose,M,5,28,2025-04-13,339
TOX-2025-0421-P,M205,2,Low Dose,M,5,1,2025-03-17,229
TOX-2025-0421-P,M205,2,Low Dose,M,5,7,2025-03-23,260
TOX-2025-0421-P,M205,2,Low Dose,M,5,14,2025-03-30,288
TOX-2025-0421-P,M205,2,Low Dose,M,5,21,2025-04-06,313
TOX-2025-0421-P,M205,2,Low Dose,M,5,28,2025-04-13,337
TOX-2025-0421-P,F201,2,Low Dose,F,5,1,2025-03-17,183
TOX-2025-0421-P,F201,2,Low Dose,F,5,7,2025-03-23,204
TOX-2025-0421-P,F201,2,Low Dose,F,5,14,2025-03-30,220
TOX-2025-0421-P,F201,2,Low Dose,F,5,21,2025-04-06,232
TOX-2025-0421-P,F201,2,Low Dose,F,5,28,2025-04-13,244
TOX-2025-0421-P,F202,2,Low Dose,F,5,1,2025-03-17,181
TOX-2025-0421-P,F202,2,Low Dose,F,5,7,2025-03-23,202
TOX-2025-0421-P,F202,2,Low Dose,F,5,14,2025-03-30,218
TOX-2025-0421-P,F202,2,Low Dose,F,5,21,2025-04-06,230
TOX-2025-0421-P,F202,2,Low Dose,F,5,28,2025-04-13,242
TOX-2025-0421-P,F203,2,Low Dose,F,5,1,2025-03-17,185
TOX-2025-0421-P,F203,2,Low Dose,F,5,7,2025-03-23,206
TOX-2025-0421-P,F203,2,Low Dose,F,5,14,2025-03-30,222
TOX-2025-0421-P,F203,2,Low Dose,F,5,21,2025-04-06,234
TOX-2025-0421-P,F203,2,Low Dose,F,5,28,2025-04-13,246
TOX-2025-0421-P,F204,2,Low Dose,F,5,1,2025-03-17,184
TOX-2025-0421-P,F204,2,Low Dose,F,5,7,2025-03-23,205
TOX-2025-0421-P,F204,2,Low Dose,F,5,14,2025-03-30,221
TOX-2025-0421-P,F204,2,Low Dose,F,5,21,2025-04-06,233
TOX-2025-0421-P,F204,2,Low Dose,F,5,28,2025-04-13,245
TOX-2025-0421-P,F205,2,Low Dose,F,5,1,2025-03-17,182
TOX-2025-0421-P,F205,2,Low Dose,F,5,7,2025-03-23,203
TOX-2025-0421-P,F205,2,Low Dose,F,5,14,2025-03-30,219
TOX-2025-0421-P,F205,2,Low Dose,F,5,21,2025-04-06,231
TOX-2025-0421-P,F205,2,Low Dose,F,5,28,2025-04-13,243
TOX-2025-0421-P,M301,3,Mid Dose,M,25,1,2025-03-17,231
TOX-2025-0421-P,M301,3,Mid Dose,M,25,7,2025-03-23,257
TOX-2025-0421-P,M301,3,Mid Dose,M,25,14,2025-03-30,280
TOX-2025-0421-P,M301,3,Mid Dose,M,25,21,2025-04-06,300
TOX-2025-0421-P,M301,3,Mid Dose,M,25,28,2025-04-13,318
TOX-2025-0421-P,M302,3,Mid Dose,M,25,1,2025-03-17,229
TOX-2025-0421-P,M302,3,Mid Dose,M,25,7,2025-03-23,255
TOX-2025-0421-P,M302,3,Mid Dose,M,25,14,2025-03-30,278
TOX-2025-0421-P,M302,3,Mid Dose,M,25,21,2025-04-06,298
TOX-2025-0421-P,M302,3,Mid Dose,M,25,28,2025-04-13,315
TOX-2025-0421-P,M303,3,Mid Dose,M,25,1,2025-03-17,233
TOX-2025-0421-P,M303,3,Mid Dose,M,25,7,2025-03-23,259
TOX-2025-0421-P,M303,3,Mid Dose,M,25,14,2025-03-30,282
TOX-2025-0421-P,M303,3,Mid Dose,M,25,21,2025-04-06,302
TOX-2025-0421-P,M303,3,Mid Dose,M,25,28,2025-04-13,320
TOX-2025-0421-P,M304,3,Mid Dose,M,25,1,2025-03-17,230
TOX-2025-0421-P,M304,3,Mid Dose,M,25,7,2025-03-23,256
TOX-2025-0421-P,M304,3,Mid Dose,M,25,14,2025-03-30,279
TOX-2025-0421-P,M304,3,Mid Dose,M,25,21,2025-04-06,299
TOX-2025-0421-P,M304,3,Mid Dose,M,25,28,2025-04-13,316
TOX-2025-0421-P,M305,3,Mid Dose,M,25,1,2025-03-17,228
TOX-2025-0421-P,M305,3,Mid Dose,M,25,7,2025-03-23,254
TOX-2025-0421-P,M305,3,Mid Dose,M,25,14,2025-03-30,277
TOX-2025-0421-P,M305,3,Mid Dose,M,25,21,2025-04-06,296
TOX-2025-0421-P,M305,3,Mid Dose,M,25,28,2025-04-13,313
TOX-2025-0421-P,F301,3,Mid Dose,F,25,1,2025-03-17,184
TOX-2025-0421-P,F301,3,Mid Dose,F,25,7,2025-03-23,202
TOX-2025-0421-P,F301,3,Mid Dose,F,25,14,2025-03-30,216
TOX-2025-0421-P,F301,3,Mid Dose,F,25,21,2025-04-06,226
TOX-2025-0421-P,F301,3,Mid Dose,F,25,28,2025-04-13,235
TOX-2025-0421-P,F302,3,Mid Dose,F,25,1,2025-03-17,182
TOX-2025-0421-P,F302,3,Mid Dose,F,25,7,2025-03-23,200
TOX-2025-0421-P,F302,3,Mid Dose,F,25,14,2025-03-30,214
TOX-2025-0421-P,F302,3,Mid Dose,F,25,21,2025-04-06,223
TOX-2025-0421-P,F302,3,Mid Dose,F,25,28,2025-04-13,232
TOX-2025-0421-P,F303,3,Mid Dose,F,25,1,2025-03-17,185
TOX-2025-0421-P,F303,3,Mid Dose,F,25,7,2025-03-23,203
TOX-2025-0421-P,F303,3,Mid Dose,F,25,14,2025-03-30,217
TOX-2025-0421-P,F303,3,Mid Dose,F,25,21,2025-04-06,227
TOX-2025-0421-P,F303,3,Mid Dose,F,25,28,2025-04-13,236
TOX-2025-0421-P,F304,3,Mid Dose,F,25,1,2025-03-17,183
TOX-2025-0421-P,F304,3,Mid Dose,F,25,7,2025-03-23,201
TOX-2025-0421-P,F304,3,Mid Dose,F,25,14,2025-03-30,215
TOX-2025-0421-P,F304,3,Mid Dose,F,25,21,2025-04-06,224
TOX-2025-0421-P,F304,3,Mid Dose,F,25,28,2025-04-13,233
TOX-2025-0421-P,F305,3,Mid Dose,F,25,1,2025-03-17,181
TOX-2025-0421-P,F305,3,Mid Dose,F,25,7,2025-03-23,199
TOX-2025-0421-P,F305,3,Mid Dose,F,25,14,2025-03-30,213
TOX-2025-0421-P,F305,3,Mid Dose,F,25,21,2025-04-06,222
TOX-2025-0421-P,F305,3,Mid Dose,F,25,28,2025-04-13,231
TOX-2025-0421-P,M401,4,High Dose,M,100,1,2025-03-17,230
TOX-2025-0421-P,M401,4,High Dose,M,100,7,2025-03-23,244
TOX-2025-0421-P,M401,4,High Dose,M,100,14,2025-03-30,256
TOX-2025-0421-P,M401,4,High Dose,M,100,21,2025-04-06,264
TOX-2025-0421-P,M401,4,High Dose,M,100,28,2025-04-13,271
TOX-2025-0421-P,M402,4,High Dose,M,100,1,2025-03-17,228
TOX-2025-0421-P,M402,4,High Dose,M,100,7,2025-03-23,242
TOX-2025-0421-P,M402,4,High Dose,M,100,14,2025-03-30,254
TOX-2025-0421-P,M402,4,High Dose,M,100,21,2025-04-06,261
TOX-2025-0421-P,M402,4,High Dose,M,100,28,2025-04-13,268
TOX-2025-0421-P,M403,4,High Dose,M,100,1,2025-03-17,232
TOX-2025-0421-P,M403,4,High Dose,M,100,7,2025-03-23,246
TOX-2025-0421-P,M403,4,High Dose,M,100,14,2025-03-30,258
TOX-2025-0421-P,M403,4,High Dose,M,100,21,2025-04-06,267
TOX-2025-0421-P,M403,4,High Dose,M,100,28,2025-04-13,274
TOX-2025-0421-P,M404,4,High Dose,M,100,1,2025-03-17,229
TOX-2025-0421-P,M404,4,High Dose,M,100,7,2025-03-23,243
TOX-2025-0421-P,M404,4,High Dose,M,100,14,2025-03-30,255
TOX-2025-0421-P,M404,4,High Dose,M,100,21,2025-04-06,262
TOX-2025-0421-P,M404,4,High Dose,M,100,28,2025-04-13,270
TOX-2025-0421-P,M405,4,High Dose,M,100,1,2025-03-17,231
TOX-2025-0421-P,M405,4,High Dose,M,100,7,2025-03-23,245
TOX-2025-0421-P,M405,4,High Dose,M,100,14,2025-03-30,257
TOX-2025-0421-P,M405,4,High Dose,M,100,21,2025-04-06,265
TOX-2025-0421-P,M405,4,High Dose,M,100,28,2025-04-13,272
TOX-2025-0421-P,F401,4,High Dose,F,100,1,2025-03-17,183
TOX-2025-0421-P,F401,4,High Dose,F,100,7,2025-03-23,194
TOX-2025-0421-P,F401,4,High Dose,F,100,14,2025-03-30,201
TOX-2025-0421-P,F401,4,High Dose,F,100,21,2025-04-06,206
TOX-2025-0421-P,F401,4,High Dose,F,100,28,2025-04-13,211
TOX-2025-0421-P,F402,4,High Dose,F,100,1,2025-03-17,181
TOX-2025-0421-P,F402,4,High Dose,F,100,7,2025-03-23,192
TOX-2025-0421-P,F402,4,High Dose,F,100,14,2025-03-30,199
TOX-2025-0421-P,F402,4,High Dose,F,100,21,2025-04-06,204
TOX-2025-0421-P,F402,4,High Dose,F,100,28,2025-04-13,209
TOX-2025-0421-P,F403,4,High Dose,F,100,1,2025-03-17,184
