study_id,animal_id,group_number,group_name,sex,dose_mgkg_day,study_day_start,study_day_end,period_label,observation_type,finding,comment
TOX-2025-0421-P,M101,1,Vehicle Control,M,0,1,7,Days 1-7,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M101,1,Vehicle Control,M,0,8,14,Days 8-14,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M101,1,Vehicle Control,M,0,15,21,Days 15-21,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M101,1,Vehicle Control,M,0,22,28,Days 22-28,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M102,1,Vehicle Control,M,0,1,7,Days 1-7,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M102,1,Vehicle Control,M,0,8,14,Days 8-14,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M102,1,Vehicle Control,M,0,15,21,Days 15-21,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M102,1,Vehicle Control,M,0,22,28,Days 22-28,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M103,1,Vehicle Control,M,0,1,7,Days 1-7,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M103,1,Vehicle Control,M,0,8,14,Days 8-14,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M103,1,Vehicle Control,M,0,15,21,Days 15-21,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M103,1,Vehicle Control,M,0,22,28,Days 22-28,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M104,1,Vehicle Control,M,0,1,7,Days 1-7,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M104,1,Vehicle Control,M,0,8,14,Days 8-14,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M104,1,Vehicle Control,M,0,15,21,Days 15-21,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M104,1,Vehicle Control,M,0,22,28,Days 22-28,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M105,1,Vehicle Control,M,0,1,7,Days 1-7,Detailed clinical examination,No remarkable findings,
TOX-2025-0421-P,M105,1,Vehicle Control,M,0,8,14,Days 8-14,Detailed clinical examination,No remarkable findings,
