study_id,study_day,sample_date,group_number,group_name,dose_mgkg_day,intended_conc_mgml,measured_conc_mgml,pct_of_nominal,acceptance_criterion_pct,pass_fail,analyst_comment
TOX-2025-0421-P,1,2025-03-17,1,Vehicle Control,0,0,ND,N/A,10,PASS,No test article detected
TOX-2025-0421-P,1,2025-03-17,2,Low Dose,5,0.5,0.496,99.2,10,PASS,Within ±10% of nominal
TOX-2025-0421-P,1,2025-03-17,3,Mid Dose,25,2.5,2.44,97.6,10,PASS,Within ±10% of nominal
TOX-2025-0421-P,1,2025-03-17,4,High Dose,100,10.0,9.743,97.4,10,PASS,Within ±10% of nominal
TOX-2025-0421-P,14,2025-03-30,1,Vehicle Control,0,0,ND,N/A,10,PASS,No test article detected
TOX-2025-0421-P,14,2025-03-30,2,Low Dose,5,0.5,0.49,98.0,10,PASS,Within ±10% of nominal
TOX-2025-0421-P,14,2025-03-30,3,Mid Dose,25,2.5,2.552,102.1,10,PASS,Within ±10% of nominal
TOX-2025-0421-P,14,2025-03-30,4,High Dose,100,10.0,9.801,98.0,10,PASS,Within ±10% of nominal
TOX-2025-0421-P,28,2025-04-13,1,Vehicle Control,0,0,ND,N/A,10,PASS,No test article detected
TOX-2025-0421-P,28,2025-04-13,2,Low Dose,5,0.5,0.495,99.0,10,PASS,Within ±10% of nominal
TOX-2025-0421-P,28,2025-04-13,3,Mid Dose,25,2.5,2.537,101.5,10,PASS,Within ±10% of nominal
TOX-2025-0421-P,28,2025-04-13,4,High Dose,100,10.0,10.031,100.3,10,PASS,Within ±10% of nominal
