study_id,animal_id,group_number,group_name,sex,dose_mgkg_day,tissue,finding,grade,grade_text,distribution,comment
TOX-2025-0421-P,M101,1,Vehicle Control,M,0,Liver,No remarkable findings,,,,
TOX-2025-0421-P,M101,1,Vehicle Control,M,0,Kidney,No remarkable findings,,,,
TOX-2025-0421-P,M101,1,Vehicle Control,M,0,Heart,No remarkable findings,,,,
TOX-2025-0421-P,M101,1,Vehicle Control,M,0,Brain,No remarkable findings,,,,
TOX-2025-0421-P,M101,1,Vehicle Control,M,0,Spleen,No remarkable findings,,,,
TOX-2025-0421-P,M101,1,Vehicle Control,M,0,Thymus,No remarkable findings,,,,
TOX-2025-0421-P,M101,1,Vehicle Control,M,0,Adrenal Glands,No remarkable findings,,,,
TOX-2025-0421-P,M101,1,Vehicle Control,M,0,Gonads,No remarkable findings,,,,
TOX-2025-0421-P,M101,1,Vehicle Control,M,0,Lungs,No remarkable findings,,,,
TOX-2025-0421-P,M101,1,Vehicle Control,M,0,Bone Marrow,No remarkable findings,,,,
TOX-2025-0421-P,M102,1,Vehicle Control,M,0,Liver,No remarkable findings,,,,
TOX-2025-0421-P,M102,1,Vehicle Control,M,0,Kidney,No remarkable findings,,,,
TOX-2025-0421-P,M102,1,Vehicle Control,M,0,Heart,No remarkable findings,,,,
TOX-2025-0421-P,M102,1,Vehicle Control,M,0,Brain,No remarkable findings,,,,
TOX-2025-0421-P,M102,1,Vehicle Control,M,0,Spleen,No remarkable findings,,,,
TOX-2025-0421-P,M102,1,Vehicle Control,M,0,Thymus,No remarkable findings,,,,
TOX-2025-0421-P,M102,1,Vehicle Control,M,0,Adrenal Glands,No remarkable findings,,,,
TOX-2025-0421-P,M102,1,Vehicle Control,M,0,Gonads,No remarkable findings,,,,
TOX-2025-0421-P,M102,1,Vehicle Control,M,0,Lungs,No remarkable findings,,,,
TOX-2025-0421-P,M102,1,Vehicle Control,M,0,Bone Marrow,No remarkable findings,,,,
TOX-2025-0421-P,M103,1,Vehicle Control,M,0,Liver,No remarkable findings,,,,
TOX-2025-0421-P,M103,1,Vehicle Control,M,0,Kidney,No remarkable findings,,,,
TOX-2025-0421-P,M103,1,Vehicle Control,M,0,Heart,No remarkable findings,,,,
TOX-2025-0421-P,M103,1,Vehicle Control,M,0,Brain,No remarkable findings,,,,
TOX-2025-0421-P,M103,1,Vehicle Control,M,0,Spleen,No remarkable findings,,,,
TOX-2025-0421-P,M103,1,Vehicle Control,M,0,Thymus,No remarkable findings,,,,
TOX-2025-0421-P,M103,1,Vehicle Control,M,0,Adrenal Glands,No remarkable findings,,,,
TOX-2025-0421-P,M103,1,Vehicle Control,M,0,Gonads,No remarkable findings,,,,
TOX-2025-0421-P,M103,1,Vehicle Control,M,0,Lungs,No remarkable findings,,,,
TOX-2025-0421-P,M103,1,Vehicle Control,M,0,Bone Marrow,No remarkable findings,,,,
TOX-2025-0421-P,M104,1,Vehicle Control,M,0,Liver,No remarkable findings,,,,
TOX-2025-0421-P,M104,1,Vehicle Control,M,0,Kidney,No remarkable findings,,,,
TOX-2025-0421-P,M104,1,Vehicle Control,M,0,Heart,No remarkable findings,,,,
TOX-2025-0421-P,M104,1,Vehicle Control,M,0,Brain,No remarkable findings,,,,
TOX-2025-0421-P,M104,1,Vehicle Control,M,0,Spleen,No remarkable findings,,,,
TOX-2025-0421-P,M104,1,Vehicle Control,M,0,Thymus,No remarkable findings,,,,
TOX-2025-0421-P,M104,1,Vehicle Control,M,0,Adrenal Glands,No remarkable findings,,,,
TOX-2025-0421-P,M104,1,Vehicle Control,M,0,Gonads,No remarkable findings,,,,
TOX-2025-0421-P,M104,1,Vehicle Control,M,0,Lungs,No remarkable findings,,,,
TOX-2025-0421-P,M104,1,Vehicle Control,M,0,Bone Marrow,No remarkable findings,,,,
TOX-2025-0421-P,M105,1,Vehicle Control,M,0,Liver,No remarkable findings,,,,
TOX-2025-0421-P,M105,1,Vehicle Control,M,0,Kidney,No remarkable findings,,,,
TOX-2025-0421-P,M105,1,Vehicle Control,M,0,Heart,No remarkable findings,,,,
TOX-2025-0421-P,M105,1,Vehicle Control,M,0,Brain,No remarkable findings,,,,
TOX-2025-0421-P,M105,1,Vehicle Control,M,0,Spleen,No remarkable findings,,,,
TOX-2025-0421-P,M105,1,Vehicle Control,M,0,Thymus,No remarkable findings,,,,
TOX-2025-0421-P,M105,1,Vehicle Control,M,0,Adrenal Glands,No remarkable findings,,,,
TOX-2025-0421-P,M105,1,Vehicle Control,M,0,Gonads,No remarkable findings,,,,
TOX-2025-0421-P,M105,1,Vehicle Control,M,0,Lungs,No remarkable findings,,,,
TOX-2025-0421-P,M105,1,Vehicle Control,M,0,Bone Marrow,No remarkable findings,,,,
TOX-2025-0421-P,F101,1,Vehicle Control,F,0,Liver,No remarkable findings,,,,
TOX-2025-0421-P,F101,1,Vehicle Control,F,0,Kidney,No remarkable findings,,,,
TOX-2025-0421-P,F101,1,Vehicle Control,F,0,Heart,No remarkable findings,,,,
TOX-2025-0421-P,F101,1,Vehicle Control,F,0,Brain,No remarkable findings,,,,
TOX-2025-0421-P,F101,1,Vehicle Control,F,0,Spleen,No remarkable findings,,,,
TOX-2025-0421-P,F101,1,Vehicle Control,F,0,Thymus,No remarkable findings,,,,
TOX-2025-0421-P,F101,1,Vehicle Control,F,0,Adrenal Glands,No remarkable findings,,,,
TOX-2025-0421-P,F101,1,Vehicle Control,F,0,Gonads,No remarkable findings,,,,
TOX-2025-0421-P,F101,1,Vehicle Control,F,0,Lungs,No remarkable findings,,,,
TOX-2025-0421-P,F101,1,Vehicle Control,F,0,Bone Marrow,No remarkable findings,,,,
TOX-2025-0421-P,F102,1,Vehicle Control,F,0,Liver,No remarkable findings,,,,
TOX-2025-0421-P,F102,1,Vehicle Control,F,0,Kidney,No remarkable findings,,,,
TOX-2025-0421-P,F102,1,Vehicle Control,F,0,Heart,No remarkable findings,,,,
TOX-2025-0421-P,F102,1,Vehicle Control,F,0,Brain,No remarkable findings,,,,
TOX-2025-0421-P,F102,1,Vehicle Control,F,0,Spleen,No remarkable findings,,,,
TOX-2025-0421-P,F102,1,Vehicle Control,F,0,Thymus,No remarkable findings,,,,
TOX-2025-0421-P,F102,1,Vehicle Control,F,0,Adrenal Glands,No remarkable findings,,,,
TOX-2025-0421-P,F102,1,Vehicle Control,F,0,Gonads,No remarkable findings,,,,
TOX-2025-0421-P,F102,1,Vehicle Control,F,0,Lungs,No remarkable findings,,,,
TOX-2025-0421-P,F102,1,Vehicle Control,F,0,Bone Marrow,No remarkable findings,,,,
