study_id,animal_id,group_number,group_name,sex,dose_mgkg_day,organ,organ_label,paired,weight_g,bw_at_necropsy_g,organ_to_bw_ratio,necropsy_date
TOX-2025-0421-P,M101,1,Vehicle Control,M,0,liver,Liver,False,11.789,341,3.457,2025-04-14
TOX-2025-0421-P,M101,1,Vehicle Control,M,0,kidney,Kidneys (paired),True,2.207,341,0.647,2025-04-14
TOX-2025-0421-P,M101,1,Vehicle Control,M,0,heart,Heart,False,1.09,341,0.32,2025-04-14
TOX-2025-0421-P,M101,1,Vehicle Control,M,0,brain,Brain,False,1.906,341,0.559,2025-04-14
TOX-2025-0421-P,M101,1,Vehicle Control,M,0,spleen,Spleen,False,0.696,341,0.204,2025-04-14
TOX-2025-0421-P,M101,1,Vehicle Control,M,0,thymus,Thymus,False,0.409,341,0.12,2025-04-14
TOX-2025-0421-P,M102,1,Vehicle Control,M,0,liver,Liver,False,11.031,338,3.264,2025-04-14
TOX-2025-0421-P,M102,1,Vehicle Control,M,0,kidney,Kidneys (paired),True,2.18,338,0.645,2025-04-14
TOX-2025-0421-P,M102,1,Vehicle Control,M,0,heart,Heart,False,1.124,338,0.333,2025-04-14
TOX-2025-0421-P,M102,1,Vehicle Control,M,0,brain,Brain,False,1.802,338,0.533,2025-04-14
TOX-2025-0421-P,M102,1,Vehicle Control,M,0,spleen,Spleen,False,0.734,338,0.217,2025-04-14
TOX-2025-0421-P,M102,1,Vehicle Control,M,0,thymus,Thymus,False,0.406,338,0.12,2025-04-14
TOX-2025-0421-P,M103,1,Vehicle Control,M,0,liver,Liver,False,10.983,344,3.193,2025-04-14
TOX-2025-0421-P,M103,1,Vehicle Control,M,0,kidney,Kidneys (paired),True,2.329,344,0.677,2025-04-14
TOX-2025-0421-P,M103,1,Vehicle Control,M,0,heart,Heart,False,1.104,344,0.321,2025-04-14
TOX-2025-0421-P,M103,1,Vehicle Control,M,0,brain,Brain,False,1.942,344,0.565,2025-04-14
TOX-2025-0421-P,M103,1,Vehicle Control,M,0,spleen,Spleen,False,0.717,344,0.208,2025-04-14
TOX-2025-0421-P,M103,1,Vehicle Control,M,0,thymus,Thymus,False,0.385,344,0.112,2025-04-14
TOX-2025-0421-P,M104,1,Vehicle Control,M,0,liver,Liver,False,10.89,340,3.203,2025-04-14
TOX-2025-0421-P,M104,1,Vehicle Control,M,0,kidney,Kidneys (paired),True,2.079,340,0.611,2025-04-14
TOX-2025-0421-P,M104,1,Vehicle Control,M,0,heart,Heart,False,1.061,340,0.312,2025-04-14
TOX-2025-0421-P,M104,1,Vehicle Control,M,0,brain,Brain,False,1.99,340,0.585,2025-04-14
TOX-2025-0421-P,M104,1,Vehicle Control,M,0,spleen,Spleen,False,0.723,340,0.213,2025-04-14
TOX-2025-0421-P,M104,1,Vehicle Control,M,0,thymus,Thymus,False,0.388,340,0.114,2025-04-14
TOX-2025-0421-P,M105,1,Vehicle Control,M,0,liver,Liver,False,11.738,336,3.493,2025-04-14
TOX-2025-0421-P,M105,1,Vehicle Control,M,0,kidney,Kidneys (paired),True,2.238,336,0.666,2025-04-14
TOX-2025-0421-P,M105,1,Vehicle Control,M,0,heart,Heart,False,1.163,336,0.346,2025-04-14
TOX-2025-0421-P,M105,1,Vehicle Control,M,0,brain,Brain,False,1.848,336,0.55,2025-04-14
TOX-2025-0421-P,M105,1,Vehicle Control,M,0,spleen,Spleen,False,0.695,336,0.207,2025-04-14
TOX-2025-0421-P,M105,1,Vehicle Control,M,0,thymus,Thymus,False,0.41,336,0.122,2025-04-14
TOX-2025-0421-P,F101,1,Vehicle Control,F,0,liver,Liver,False,8.154,246,3.315,2025-04-14
TOX-2025-0421-P,F101,1,Vehicle Control,F,0,kidney,Kidneys (paired),True,1.573,246,0.639,2025-04-14
TOX-2025-0421-P,F101,1,Vehicle Control,F,0,heart,Heart,False,0.87,246,0.354,2025-04-14
TOX-2025-0421-P,F101,1,Vehicle Control,F,0,brain,Brain,False,1.957,246,0.796,2025-04-14
TOX-2025-0421-P,F101,1,Vehicle Control,F,0,spleen,Spleen,False,0.642,246,0.261,2025-04-14
TOX-2025-0421-P,F101,1,Vehicle Control,F,0,thymus,Thymus,False,0.418,246,0.17,2025-04-14
TOX-2025-0421-P,F102,1,Vehicle Control,F,0,liver,Liver,False,8.028,244,3.29,2025-04-14
TOX-2025-0421-P,F102,1,Vehicle Control,F,0,kidney,Kidneys (paired),True,1.433,244,0.587,2025-04-14
TOX-2025-0421-P,F102,1,Vehicle Control,F,0,heart,Heart,False,0.857,244,0.351,2025-04-14
TOX-2025-0421-P,F102,1,Vehicle Control,F,0,brain,Brain,False,1.921,244,0.787,2025-04-14
TOX-2025-0421-P,F102,1,Vehicle Control,F,0,spleen,Spleen,False,0.579,244,0.237,2025-04-14
TOX-2025-0421-P,F102,1,Vehicle Control,F,0,thymus,Thymus,False,0.406,244,0.166,2025-04-14
TOX-2025-0421-P,F103,1,Vehicle Control,F,0,liver,Liver,False,8.078,248,3.257,2025-04-14
TOX-2025-0421-P,F103,1,Vehicle Control,F,0,kidney,Kidneys (paired),True,1.485,248,0.599,2025-04-14
TOX-2025-0421-P,F103,1,Vehicle Control,F,0,heart,Heart,False,0.809,248,0.326,2025-04-14
TOX-2025-0421-P,F103,1,Vehicle Control,F,0,brain,Brain,False,1.812,248,0.731,2025-04-14
TOX-2025-0421-P,F103,1,Vehicle Control,F,0,spleen,Spleen,False,0.612,248,0.247,2025-04-14
TOX-2025-0421-P,F103,1,Vehicle Control,F,0,thymus,Thymus,False,0.395,248,0.159,2025-04-14
