study_id,animal_id,group_number,group_name,sex,dose_mgkg_day,dose_volume_mlkg,species,strain,age_at_arrival_weeks,bw_at_receipt_g,arrival_date,acclimation_start,day1_date,necropsy_date,disposition,necropsy_type,comments
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,10.0,Rat,Sprague-Dawley (Crl:CD(SD)),6,336.0,2016-01-26,2016-01-27,2016-02-01,2016-03-01,Moribund Sacrifice,Unscheduled,GAVAGE ERROR
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,10.0,Rat,Sprague-Dawley (Crl:CD(SD)),6,324.0,2016-01-26,2016-01-27,2016-02-01,2016-05-02,Terminal Sacrifice,Scheduled,
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,10.0,Rat,Sprague-Dawley (Crl:CD(SD)),6,302.0,2016-01-26,2016-01-27,2016-02-01,2016-05-02,Terminal Sacrifice,Scheduled,
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,10.0,Rat,Sprague-Dawley (Crl:CD(SD)),6,337.0,2016-01-26,2016-01-27,2016-02-01,2016-05-02,Terminal Sacrifice,Scheduled,
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,10.0,Rat,Sprague-Dawley (Crl:CD(SD)),6,319.0,2016-01-26,2016-01-27,2016-02-01,2016-05-02,Terminal Sacrifice,Scheduled,
PC201708,PC201708-1006,1,Vehicle Control,M,0.0,10.0,Rat,Sprague-Dawley (Crl:CD(SD)),6,334.0,2016-01-26,2016-01-27,2016-02-01,2016-05-02,Terminal Sacrifice,Scheduled,
PC201708,PC201708-1007,1,Vehicle Control,M,0.0,10.0,Rat,Sprague-Dawley (Crl:CD(SD)),6,324.0,2016-01-26,2016-01-27,2016-02-01,2016-05-02,Terminal Sacrifice,Scheduled,
PC201708,PC201708-1008,1,Vehicle Control,M,0.0,10.0,Rat,Sprague-Dawley (Crl:CD(SD)),6,326.0,2016-01-26,2016-01-27,2016-02-01,2016-05-02,Terminal Sacrifice,Scheduled,
PC201708,PC201708-1009,1,Vehicle Control,M,0.0,10.0,Rat,Sprague-Dawley (Crl:CD(SD)),6,319.0,2016-01-26,2016-01-27,2016-02-01,2016-05-02,Terminal Sacrifice,Scheduled,
PC201708,PC201708-1010,1,Vehicle Control,M,0.0,10.0,Rat,Sprague-Dawley (Crl:CD(SD)),6,312.0,2016-01-26,2016-01-27,2016-02-01,2016-05-02,Terminal Sacrifice,Scheduled,
PC201708,PC201708-1011,1,Vehicle Control,M,0.0,10.0,Rat,Sprague-Dawley (Crl:CD(SD)),6,335.0,2016-01-26,2016-01-27,2016-02-01,2016-05-16,Recovery Sacrifice,Recovery,
PC201708,PC201708-1012,1,Vehicle Control,M,0.0,10.0,Rat,Sprague-Dawley (Crl:CD(SD)),6,305.0,2016-01-26,2016-01-27,2016-02-01,2016-05-16,Recovery Sacrifice,Recovery,
PC201708,PC201708-1013,1,Vehicle Control,M,0.0,10.0,Rat,Sprague-Dawley (Crl:CD(SD)),6,327.0,2016-01-26,2016-01-27,2016-02-01,2016-05-16,Recovery Sacrifice,Recovery,
PC201708,PC201708-1014,1,Vehicle Control,M,0.0,10.0,Rat,Sprague-Dawley (Crl:CD(SD)),6,314.0,2016-01-26,2016-01-27,2016-02-01,2016-05-16,Recovery Sacrifice,Recovery,
PC201708,PC201708-1015,1,Vehicle Control,M,0.0,10.0,Rat,Sprague-Dawley (Crl:CD(SD)),6,335.0,2016-01-26,2016-01-27,2016-02-01,2016-05-16,Recovery Sacrifice,Recovery,
PC201708,PC201708-1101,1,Vehicle Control,F,0.0,10.0,Rat,Sprague-Dawley (Crl:CD(SD)),6,221.0,2016-01-26,2016-01-27,2016-02-01,2016-05-02,Terminal Sacrifice,Scheduled,
PC201708,PC201708-1102,1,Vehicle Control,F,0.0,10.0,Rat,Sprague-Dawley (Crl:CD(SD)),6,240.0,2016-01-26,2016-01-27,2016-02-01,2016-05-02,Terminal Sacrifice,Scheduled,
PC201708,PC201708-1103,1,Vehicle Control,F,0.0,10.0,Rat,Sprague-Dawley (Crl:CD(SD)),6,222.0,2016-01-26,2016-01-27,2016-02-01,2016-05-02,Terminal Sacrifice,Scheduled,
PC201708,PC201708-1104,1,Vehicle Control,F,0.0,10.0,Rat,Sprague-Dawley (Crl:CD(SD)),6,236.0,2016-01-26,2016-01-27,2016-02-01,2016-05-02,Terminal Sacrifice,Scheduled,
PC201708,PC201708-1105,1,Vehicle Control,F,0.0,10.0,Rat,Sprague-Dawley (Crl:CD(SD)),6,230.0,2016-01-26,2016-01-27,2016-02-01,2016-05-02,Terminal Sacrifice,Scheduled,
PC201708,PC201708-1106,1,Vehicle Control,F,0.0,10.0,Rat,Sprague-Dawley (Crl:CD(SD)),6,236.0,2016-01-26,2016-01-27,2016-02-01,2016-05-02,Terminal Sacrifice,Scheduled,
PC201708,PC201708-1107,1,Vehicle Control,F,0.0,10.0,Rat,Sprague-Dawley (Crl:CD(SD)),6,229.0,2016-01-26,2016-01-27,2016-02-01,2016-05-02,Terminal Sacrifice,Scheduled,
PC201708,PC201708-1108,1,Vehicle Control,F,0.0,10.0,Rat,Sprague-Dawley (Crl:CD(SD)),6,232.0,2016-01-26,2016-01-27,2016-02-01,2016-05-02,Terminal Sacrifice,Scheduled,
PC201708,PC201708-1109,1,Vehicle Control,F,0.0,10.0,Rat,Sprague-Dawley (Crl:CD(SD)),6,221.0,2016-01-26,2016-01-27,2016-02-01,2016-05-02,Terminal Sacrifice,Scheduled,
PC201708,PC201708-1110,1,Vehicle Control,F,0.0,10.0,Rat,Sprague-Dawley (Crl:CD(SD)),6,258.0,2016-01-26,2016-01-27,2016-02-01,2016-05-02,Terminal Sacrifice,Scheduled,
PC201708,PC201708-1111,1,Vehicle Control,F,0.0,10.0,Rat,Sprague-Dawley (Crl:CD(SD)),6,256.0,2016-01-26,2016-01-27,2016-02-01,2016-05-16,Recovery Sacrifice,Recovery,
PC201708,PC201708-1112,1,Vehicle Control,F,0.0,10.0,Rat,Sprague-Dawley (Crl:CD(SD)),6,242.0,2016-01-26,2016-01-27,2016-02-01,2016-05-16,Recovery Sacrifice,Recovery,
PC201708,PC201708-1113,1,Vehicle Control,F,0.0,10.0,Rat,Sprague-Dawley (Crl:CD(SD)),6,234.0,2016-01-26,2016-01-27,2016-02-01,2016-05-16,Recovery Sacrifice,Recovery,
