study_id,animal_id,group_number,group_name,sex,dose_mgkg_day,study_day,study_date,body_weight_g
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,1,2016-02-01,349.0
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,8,2016-02-08,361.0
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,15,2016-02-15,405.0
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,22,2016-02-22,429.0
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,29,2016-02-29,511.0
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,1,2016-02-01,337.0
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,8,2016-02-08,383.0
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,15,2016-02-15,402.0
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,22,2016-02-22,441.0
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,29,2016-02-29,512.0
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,36,2016-03-07,432.0
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,43,2016-03-14,547.0
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,50,2016-03-21,528.0
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,57,2016-03-28,517.0
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,64,2016-04-04,507.0
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,71,2016-04-11,533.0
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,78,2016-04-18,554.0
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,85,2016-04-25,552.0
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,92,2016-05-02,554.0
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,1,2016-02-01,315.0
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,8,2016-02-08,390.0
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,15,2016-02-15,401.0
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,22,2016-02-22,421.0
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,29,2016-02-29,474.0
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,36,2016-03-07,498.0
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,43,2016-03-14,495.0
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,50,2016-03-21,481.0
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,57,2016-03-28,490.0
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,64,2016-04-04,492.0
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,71,2016-04-11,509.0
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,78,2016-04-18,493.0
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,85,2016-04-25,559.0
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,92,2016-05-02,537.0
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,1,2016-02-01,350.0
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,8,2016-02-08,348.0
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,15,2016-02-15,385.0
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,22,2016-02-22,439.0
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,29,2016-02-29,443.0
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,36,2016-03-07,480.0
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,43,2016-03-14,531.0
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,50,2016-03-21,534.0
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,57,2016-03-28,521.0
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,64,2016-04-04,513.0
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,71,2016-04-11,534.0
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,78,2016-04-18,504.0
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,85,2016-04-25,505.0
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,92,2016-05-02,474.0
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,1,2016-02-01,332.0
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,8,2016-02-08,344.0
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,15,2016-02-15,402.0
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,22,2016-02-22,424.0
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,29,2016-02-29,461.0
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,36,2016-03-07,432.0
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,43,2016-03-14,537.0
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,50,2016-03-21,509.0
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,57,2016-03-28,484.0
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,64,2016-04-04,475.0
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,71,2016-04-11,467.0
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,78,2016-04-18,531.0
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,85,2016-04-25,508.0
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,92,2016-05-02,475.0
PC201708,PC201708-1006,1,Vehicle Control,M,0.0,1,2016-02-01,347.0
PC201708,PC201708-1006,1,Vehicle Control,M,0.0,8,2016-02-08,372.0
PC201708,PC201708-1006,1,Vehicle Control,M,0.0,15,2016-02-15,409.0
PC201708,PC201708-1006,1,Vehicle Control,M,0.0,22,2016-02-22,454.0
PC201708,PC201708-1006,1,Vehicle Control,M,0.0,29,2016-02-29,497.0
PC201708,PC201708-1006,1,Vehicle Control,M,0.0,36,2016-03-07,448.0
PC201708,PC201708-1006,1,Vehicle Control,M,0.0,43,2016-03-14,473.0
PC201708,PC201708-1006,1,Vehicle Control,M,0.0,50,2016-03-21,439.0
PC201708,PC201708-1006,1,Vehicle Control,M,0.0,57,2016-03-28,454.0
PC201708,PC201708-1006,1,Vehicle Control,M,0.0,64,2016-04-04,527.0
PC201708,PC201708-1006,1,Vehicle Control,M,0.0,71,2016-04-11,555.0
PC201708,PC201708-1006,1,Vehicle Control,M,0.0,78,2016-04-18,560.0
PC201708,PC201708-1006,1,Vehicle Control,M,0.0,85,2016-04-25,522.0
PC201708,PC201708-1006,1,Vehicle Control,M,0.0,92,2016-05-02,509.0
PC201708,PC201708-1007,1,Vehicle Control,M,0.0,1,2016-02-01,337.0
PC201708,PC201708-1007,1,Vehicle Control,M,0.0,8,2016-02-08,373.0
PC201708,PC201708-1007,1,Vehicle Control,M,0.0,15,2016-02-15,391.0
PC201708,PC201708-1007,1,Vehicle Control,M,0.0,22,2016-02-22,456.0
PC201708,PC201708-1007,1,Vehicle Control,M,0.0,29,2016-02-29,486.0
PC201708,PC201708-1007,1,Vehicle Control,M,0.0,36,2016-03-07,542.0
PC201708,PC201708-1007,1,Vehicle Control,M,0.0,43,2016-03-14,504.0
PC201708,PC201708-1007,1,Vehicle Control,M,0.0,50,2016-03-21,453.0
PC201708,PC201708-1007,1,Vehicle Control,M,0.0,57,2016-03-28,481.0
PC201708,PC201708-1007,1,Vehicle Control,M,0.0,64,2016-04-04,512.0
PC201708,PC201708-1007,1,Vehicle Control,M,0.0,71,2016-04-11,533.0
PC201708,PC201708-1007,1,Vehicle Control,M,0.0,78,2016-04-18,523.0
