study_id,animal_id,group_number,group_name,sex,dose_mgkg_day,tissue,observation,is_collected_for_histo,comment,necropsy_date
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,Esophagus,Perforation,False,,2016-03-01
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,"Gland, Adrenal",Enlarged,True,,2016-03-01
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,All Tissues,Normal,False,,2016-05-02
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,All Tissues,Normal,False,,2016-05-02
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,All Tissues,Normal,False,,2016-05-02
PC201708,PC201708-1005,1,Vehicle Control,M,0.0,All Tissues,Normal,False,,2016-05-02
PC201708,PC201708-1006,1,Vehicle Control,M,0.0,All Tissues,Normal,False,,2016-05-02
PC201708,PC201708-1007,1,Vehicle Control,M,0.0,All Tissues,Normal,False,,2016-05-02
PC201708,PC201708-1008,1,Vehicle Control,M,0.0,Epididymis,Small,True,,2016-05-02
PC201708,PC201708-1008,1,Vehicle Control,M,0.0,Hindlimb,Hard Thickening,False,,2016-05-02
PC201708,PC201708-1008,1,Vehicle Control,M,0.0,Testis,Small,True,,2016-05-02
PC201708,PC201708-1008,1,Vehicle Control,M,0.0,Thymus,Small,True,,2016-05-02
PC201708,PC201708-1009,1,Vehicle Control,M,0.0,Epididymis,Small,True,,2016-05-02
PC201708,PC201708-1009,1,Vehicle Control,M,0.0,"Gland, Adrenal",Enlarged,True,,2016-05-02
PC201708,PC201708-1009,1,Vehicle Control,M,0.0,"Gland, Coagulating",Small,False,,2016-05-02
PC201708,PC201708-1009,1,Vehicle Control,M,0.0,"Gland, Seminal Vesicle",Small,False,,2016-05-02
PC201708,PC201708-1009,1,Vehicle Control,M,0.0,Testis,Soft,True,,2016-05-02
PC201708,PC201708-1010,1,Vehicle Control,M,0.0,All Tissues,Normal,False,,2016-05-02
PC201708,PC201708-1011,1,Vehicle Control,M,0.0,All Tissues,Normal,False,,2016-05-16
PC201708,PC201708-1012,1,Vehicle Control,M,0.0,All Tissues,Normal,False,,2016-05-16
PC201708,PC201708-1013,1,Vehicle Control,M,0.0,All Tissues,Normal,False,,2016-05-16
PC201708,PC201708-1014,1,Vehicle Control,M,0.0,All Tissues,Normal,False,,2016-05-16
PC201708,PC201708-1015,1,Vehicle Control,M,0.0,All Tissues,Normal,False,,2016-05-16
PC201708,PC201708-1101,1,Vehicle Control,F,0.0,All Tissues,Normal,False,,2016-05-02
PC201708,PC201708-1102,1,Vehicle Control,F,0.0,All Tissues,Normal,False,,2016-05-02
PC201708,PC201708-1103,1,Vehicle Control,F,0.0,All Tissues,Normal,False,,2016-05-02
PC201708,PC201708-1104,1,Vehicle Control,F,0.0,All Tissues,Normal,False,,2016-05-02
PC201708,PC201708-1105,1,Vehicle Control,F,0.0,"Lymph Node, Mesenteric",Discoloration,True,,2016-05-02
PC201708,PC201708-1106,1,Vehicle Control,F,0.0,"Gland, Thyroid",Enlarged,False,,2016-05-02
PC201708,PC201708-1107,1,Vehicle Control,F,0.0,Hindlimb,Swelling,False,,2016-05-02
PC201708,PC201708-1108,1,Vehicle Control,F,0.0,All Tissues,Normal,False,,2016-05-02
PC201708,PC201708-1109,1,Vehicle Control,F,0.0,"Gland, Thyroid",Enlarged,False,,2016-05-02
PC201708,PC201708-1110,1,Vehicle Control,F,0.0,All Tissues,Normal,False,,2016-05-02
PC201708,PC201708-1111,1,Vehicle Control,F,0.0,All Tissues,Normal,False,,2016-05-16
PC201708,PC201708-1112,1,Vehicle Control,F,0.0,All Tissues,Normal,False,,2016-05-16
PC201708,PC201708-1113,1,Vehicle Control,F,0.0,All Tissues,Normal,False,,2016-05-16
PC201708,PC201708-1114,1,Vehicle Control,F,0.0,All Tissues,Normal,False,,2016-05-16
PC201708,PC201708-1115,1,Vehicle Control,F,0.0,All Tissues,Normal,False,,2016-05-16
PC201708,PC201708-2001,2,2 mg/kg PCDRUG,M,2.0,Stomach,Distended,True,,2016-05-02
PC201708,PC201708-2002,2,2 mg/kg PCDRUG,M,2.0,Stomach,"Area(S), Dark Red",True,,2016-05-02
PC201708,PC201708-2003,2,2 mg/kg PCDRUG,M,2.0,Epididymis,"Area(S), Dark Red",True,,2016-05-02
PC201708,PC201708-2003,2,2 mg/kg PCDRUG,M,2.0,"Large Intestine, Cecum",Firm Feces,True,,2016-05-02
PC201708,PC201708-2003,2,2 mg/kg PCDRUG,M,2.0,"Large Intestine, Colon",Firm Feces,False,,2016-05-02
PC201708,PC201708-2003,2,2 mg/kg PCDRUG,M,2.0,"Large Intestine, Rectum",Firm Feces,False,,2016-05-02
PC201708,PC201708-2003,2,2 mg/kg PCDRUG,M,2.0,Stomach,Distended,True,,2016-05-02
PC201708,PC201708-2003,2,2 mg/kg PCDRUG,M,2.0,Testis,Small,True,Severity: MILD,2016-05-02
PC201708,PC201708-2003,2,2 mg/kg PCDRUG,M,2.0,Testis,Soft,True,,2016-05-02
PC201708,PC201708-2004,2,2 mg/kg PCDRUG,M,2.0,All Tissues,Normal,False,,2016-05-02
PC201708,PC201708-2005,2,2 mg/kg PCDRUG,M,2.0,All Tissues,Normal,False,,2016-05-02
PC201708,PC201708-2006,2,2 mg/kg PCDRUG,M,2.0,"Gland, Thyroid",Pale,False,,2016-05-02
PC201708,PC201708-2006,2,2 mg/kg PCDRUG,M,2.0,"Lymph Node, Mesenteric",Enlarged,True,,2016-05-02
PC201708,PC201708-2007,2,2 mg/kg PCDRUG,M,2.0,"Gland, Adrenal",Pale,True,Severity: MINIMAL,2016-05-02
PC201708,PC201708-2007,2,2 mg/kg PCDRUG,M,2.0,Stomach,Distended,True,,2016-05-02
PC201708,PC201708-2007,2,2 mg/kg PCDRUG,M,2.0,Thymus,Small,True,,2016-05-02
PC201708,PC201708-2008,2,2 mg/kg PCDRUG,M,2.0,All Tissues,Normal,False,,2016-05-02
PC201708,PC201708-2009,2,2 mg/kg PCDRUG,M,2.0,Hindlimb,Hard Thickening,False,,2016-05-02
PC201708,PC201708-2010,2,2 mg/kg PCDRUG,M,2.0,Testis,Small,True,Severity: MODERATE,2016-05-02
PC201708,PC201708-2011,2,2 mg/kg PCDRUG,M,2.0,"Gland, Adrenal",Discoloration,True,,2016-05-16
PC201708,PC201708-2012,2,2 mg/kg PCDRUG,M,2.0,All Tissues,Normal,False,,2016-05-16
PC201708,PC201708-2013,2,2 mg/kg PCDRUG,M,2.0,All Tissues,Normal,False,,2016-05-16
PC201708,PC201708-2014,2,2 mg/kg PCDRUG,M,2.0,All Tissues,Normal,False,,2016-05-16
PC201708,PC201708-2015,2,2 mg/kg PCDRUG,M,2.0,All Tissues,Normal,False,,2016-05-16
PC201708,PC201708-2101,2,2 mg/kg PCDRUG,F,2.0,Skin,Hair Loss,True,,2016-05-02
PC201708,PC201708-2102,2,2 mg/kg PCDRUG,F,2.0,All Tissues,Normal,False,,2016-05-02
PC201708,PC201708-2103,2,2 mg/kg PCDRUG,F,2.0,"Lymph Node, Mesenteric",Enlarged,True,,2016-05-02
