study_id,animal_id,group_number,group_name,sex,dose_mgkg_day,tissue,finding,grade,grade_text,distribution,comment
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,"Artery, Aorta",No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,"Bone Marrow, Femur",Fat Vacuoles,1,Mild,diffuse,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,"Bone Marrow, Sternum",No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,"Bone, Sternum",No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,Brain,No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,Epididymis,No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,Esophagus,Inflammation,3,Marked,acute,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,Eye,No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,"Gland, Adrenal",No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,"Gland, Coagulating",No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,"Gland, Harderian",No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,"Gland, Mammary",No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,"Gland, Parathyroid",No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,"Gland, Pituitary",No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,"Gland, Prostate",Inflammation,1,Mild,chronic; ventral,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,"Gland, Salivary, Parotid",No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,"Gland, Salivary, Sublingual",No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,"Gland, Salivary, Submandibular",No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,"Gland, Seminal Vesicle",No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,"Gland, Thyroid",No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,Heart,No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,"Joint, Hip",No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,Kidney,No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,"Large Intestine, Cecum",No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,"Large Intestine, Colon",No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,"Large Intestine, Rectum",No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,Larynx,No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,Liver,No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,Lung,No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,"Lymph Node, Mesenteric",No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,"Lymph Node, Popliteal",No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,"Muscle, Quadriceps Femoris",No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,"Nerve, Optic",No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,"Nerve, Sciatic",No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,Pancreas,No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,Peyer'S Patch,No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,Skin,No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,"Small Intestine, Duodenum",No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,"Small Intestine, Ileum",No Remarkable Findings,,,,
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,"Small Intestine, Jejunum",No Remarkable Findings,,,,
