study_id,animal_id,group_number,group_name,sex,dose_mgkg_day,organ,organ_label,paired,weight_g,bw_at_necropsy_g,organ_to_bw_ratio,necropsy_date
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,adrenal_gland,Adrenal Glands,True,0.0875,511.0,0.017,2016-05-02
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,brain,Brain,False,2.0789,511.0,0.407,2016-05-02
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,heart,Heart,False,1.3104,511.0,0.256,2016-05-02
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,kidney,Kidneys (paired),True,3.2055,511.0,0.627,2016-05-02
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,liver,Liver,False,8.7775,511.0,1.718,2016-05-02
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,pituitary_gland,Pituitary Gland,False,0.0148,511.0,0.003,2016-05-02
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,spleen,Spleen,False,0.5583,511.0,0.109,2016-05-02
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,testis,Testes (paired),True,4.069,511.0,0.796,2016-05-02
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,thymus,Thymus,False,0.3826,511.0,0.075,2016-05-02
PC201708,PC201708-1001,1,Vehicle Control,M,0.0,thyroid_gland,Thyroid Gland,False,0.0269,511.0,0.005,2016-05-02
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,adrenal_gland,Adrenal Glands,True,0.0766,554.0,0.014,2016-05-02
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,brain,Brain,False,2.1089,554.0,0.381,2016-05-02
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,heart,Heart,False,1.4671,554.0,0.265,2016-05-02
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,kidney,Kidneys (paired),True,2.8,554.0,0.505,2016-05-02
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,liver,Liver,False,9.8338,554.0,1.775,2016-05-02
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,pituitary_gland,Pituitary Gland,False,0.0135,554.0,0.002,2016-05-02
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,spleen,Spleen,False,0.699,554.0,0.126,2016-05-02
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,testis,Testes (paired),True,3.6367,554.0,0.656,2016-05-02
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,thymus,Thymus,False,0.5844,554.0,0.105,2016-05-02
PC201708,PC201708-1002,1,Vehicle Control,M,0.0,thyroid_gland,Thyroid Gland,False,0.0175,554.0,0.003,2016-05-02
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,adrenal_gland,Adrenal Glands,True,0.086,537.0,0.016,2016-05-02
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,brain,Brain,False,2.2374,537.0,0.417,2016-05-02
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,heart,Heart,False,1.6419,537.0,0.306,2016-05-02
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,kidney,Kidneys (paired),True,3.487,537.0,0.649,2016-05-02
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,liver,Liver,False,13.2848,537.0,2.474,2016-05-02
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,pituitary_gland,Pituitary Gland,False,0.0164,537.0,0.003,2016-05-02
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,spleen,Spleen,False,0.7665,537.0,0.143,2016-05-02
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,testis,Testes (paired),True,3.481,537.0,0.648,2016-05-02
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,thymus,Thymus,False,0.4859,537.0,0.09,2016-05-02
PC201708,PC201708-1003,1,Vehicle Control,M,0.0,thyroid_gland,Thyroid Gland,False,0.0472,537.0,0.009,2016-05-02
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,adrenal_gland,Adrenal Glands,True,0.0859,474.0,0.018,2016-05-02
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,brain,Brain,False,2.2251,474.0,0.469,2016-05-02
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,heart,Heart,False,1.5245,474.0,0.322,2016-05-02
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,kidney,Kidneys (paired),True,3.1734,474.0,0.669,2016-05-02
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,liver,Liver,False,10.6624,474.0,2.249,2016-05-02
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,pituitary_gland,Pituitary Gland,False,0.0189,474.0,0.004,2016-05-02
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,spleen,Spleen,False,0.6588,474.0,0.139,2016-05-02
PC201708,PC201708-1004,1,Vehicle Control,M,0.0,testis,Testes (paired),True,3.5654,474.0,0.752,2016-05-02
